support,itemsets,n_items,date
0.01694915254237288,frozenset({'prepar'}),1,2020-07-24
0.01694915254237288,frozenset({'doctor'}),1,2020-07-24
0.01694915254237288,frozenset({'dr'}),1,2020-07-24
0.01694915254237288,"frozenset({'global', 'coronavirus'})",2,2020-07-24
0.01694915254237288,frozenset({'safe'}),1,2020-07-24
0.01694915254237288,frozenset({'studi'}),1,2020-07-24
0.01694915254237288,frozenset({'well'}),1,2020-07-24
0.01694915254237288,"frozenset({'death', 'case'})",2,2020-07-24
0.01694915254237288,"frozenset({'global', 'coronavirus', 'alert'})",3,2020-07-24
0.01694915254237288,"frozenset({'kind', 'children'})",2,2020-07-24
0.01694915254237288,"frozenset({'american', 'covid'})",2,2020-07-24
0.01694915254237288,"frozenset({'alert', 'pandem'})",2,2020-07-24
0.01694915254237288,"frozenset({'news', 'alert'})",2,2020-07-24
0.01694915254237288,"frozenset({'coronavirus', 'alert'})",2,2020-07-24
0.01694915254237288,frozenset({'world'}),1,2020-07-24
0.01694915254237288,"frozenset({'global', 'news', 'alert'})",3,2020-07-24
0.01694915254237288,frozenset({'open'}),1,2020-07-24
0.01694915254237288,"frozenset({'global', 'alert', 'pandem'})",3,2020-07-24
0.01694915254237288,frozenset({'watch'}),1,2020-07-24
0.01694915254237288,"frozenset({'news', 'alert', 'pandem'})",3,2020-07-24
0.01694915254237288,frozenset({'w'}),1,2020-07-24
0.01694915254237288,"frozenset({'learn', 'help'})",2,2020-07-24
0.01694915254237288,frozenset({'use'}),1,2020-07-24
0.01694915254237288,"frozenset({'global', 'pandem'})",2,2020-07-24
0.01694915254237288,"frozenset({'global', 'news'})",2,2020-07-24
0.01694915254237288,frozenset({'close'}),1,2020-07-24
0.01694915254237288,frozenset({'month'}),1,2020-07-24
0.01694915254237288,"frozenset({'test', 'covid'})",2,2020-07-24
0.01694915254237288,frozenset({'like'}),1,2020-07-24
0.01694915254237288,frozenset({'last'}),1,2020-07-24
0.01694915254237288,"frozenset({'news', 'covid'})",2,2020-07-24
0.01694915254237288,"frozenset({'updat', 'covid'})",2,2020-07-24
0.01694915254237288,"frozenset({'vaccin', 'covid'})",2,2020-07-24
0.01694915254237288,frozenset({'look'}),1,2020-07-24
0.01694915254237288,"frozenset({""i'm""})",1,2020-07-24
0.01694915254237288,frozenset({'emerg'}),1,2020-07-24
0.01694915254237288,"frozenset({'trump', 'covid'})",2,2020-07-24
0.01694915254237288,"frozenset({'live', 'covid'})",2,2020-07-24
0.013559322033898305,"frozenset({'global', 'news', 'coronavirus'})",3,2020-07-24
0.013559322033898305,"frozenset({'total', 'case', 'new'})",3,2020-07-24
0.013559322033898305,"frozenset({'help', 'learn', 'children'})",3,2020-07-24
0.013559322033898305,"frozenset({'death', 'case', 'new'})",3,2020-07-24
0.013559322033898305,"frozenset({'covid', 'case', 'new'})",3,2020-07-24
