itemsets,n_items,date,support
frozenset({'covid'}),1,"['2020-07-24', '2020-07-25', '2020-07-26', '2020-07-27', '2020-07-28', '2020-07-29', '2020-07-30', '2020-07-31', '2020-08-01', '2020-08-02', '2020-08-04', '2020-08-06', '2020-08-07', '2020-08-08', '2020-08-09', '2020-08-10', '2020-08-11', '2020-08-12', '2020-08-13', '2020-08-14', '2020-08-16', '2020-08-17', '2020-08-18', '2020-08-22', '2020-08-29', '2020-08-30']",0.5983009527350297
frozenset({'case'}),1,"['2020-07-25', '2020-07-26', '2020-07-27', '2020-08-09', '2020-08-14', '2020-08-16', '2020-08-17', '2020-08-22', '2020-08-29', '2020-08-30']",0.1144504376204104
"frozenset({'case', 'covid'})",2,"['2020-07-26', '2020-08-30']",0.11161592039800995
